time_normal_1,temp_normal_1,time_normal_2,temp_normal_2,time_normal_3,temp_normal_3,time_clean_1,temp_clean_1,time_clean_2,temp_clean_2,time_clean_3,temp_clean_3,time_vas_1,temp_vas_1,time_vas_2,temp_vas_2,time_vas_3,temp_vas_3,time_nplc2,temp_nplc2,time_nplc3,temp_nplc3,time_nplc4,temp_nplc4,time_nplc5,temp_nplc5,time_nplc7,temp_nplc7,time_nplc10,temp_nplc10
0,20.925137,0,16.250738,0,15.874742,0,10.563232,0,8.779013,0,12.067702,0,17.819599,0,19.121986,0,18.91774,0,16.753374,0,18.39365,0,9.573713,0,18.21316,0,13.857865,0,11.125321
0.018,20.91333,0.018007,16.262323,0.018007,15.886847,0.018004,10.546843,0.018005,8.781958,0.018006,12.074063,0.018002,17.829617,0.018006,19.145523,0.018005,18.91486,0.052001,16.764267,0.052,18.402018,0.06801,9.575055,0.085003,18.210209,0.118001,13.858819,0.168005,11.127766
0.03599,20.9361,0.036005,16.250227,0.036002,15.898102,0.035998,10.553915,0.036003,8.803086,0.035996,12.078363,0.035996,17.846937,0.035993,19.13113,0.035996,18.938406,0.104002,16.764719,0.104,18.405748,0.136014,9.577,0.17,18.207018,0.236007,13.866747,0.336005,11.135295
0.053993,20.907595,0.054001,16.263006,0.054,15.866217,0.054002,10.585138,0.054004,8.804472,0.054001,12.077503,0.053995,17.81111,0.053992,19.141966,0.053997,18.935863,0.156002,16.767727,0.155997,18.396477,0.204013,9.584217,0.255007,18.206984,0.354001,13.865915,0.504004,11.145238
0.071993,20.917883,0.072003,16.251249,0.072003,15.903899,0.071994,10.569614,0.071996,8.804296,0.072003,12.101056,0.071995,17.826052,0.071992,19.118771,0.071994,18.920788,0.208002,16.759218,0.208001,18.403316,0.272011,9.581017,0.340008,18.216314,0.472005,13.875481,0.67201,11.14782
0.089991,20.926655,0.09,16.275951,0.090002,15.881563,0.090001,10.574272,0.089999,8.790271,0.089998,12.079222,0.089999,17.824015,0.090001,19.124866,0.089997,18.931461,0.26,16.758026,0.259996,18.390938,0.340015,9.590439,0.425006,18.217638,0.590009,13.875774,0.840007,11.153385
0.107996,20.911812,0.108001,16.23847,0.108001,15.894009,0.108004,10.575133,0.108003,8.793041,0.108005,12.073204,0.108003,17.844559,0.107995,19.131977,0.107997,18.924345,0.312001,16.773174,0.311997,18.406483,0.408009,9.579247,0.509999,18.214416,0.707998,13.881499,1.008002,11.159397
0.125992,20.914003,0.126002,16.261982,0.126001,15.91089,0.125998,10.578582,0.125996,8.804818,0.125994,12.088677,0.125999,17.819599,0.125998,19.120462,0.125993,18.944843,0.364001,16.765968,0.364002,18.390089,0.476006,9.591476,0.594995,18.218046,0.826002,13.892949,1.17601,11.161173
0.143995,20.918558,0.144007,16.250227,0.144002,15.898784,0.144,10.592036,0.144007,8.812782,0.144002,12.078191,0.144001,17.830465,0.143999,19.130962,0.143995,18.94264,0.415997,16.765684,0.416002,18.390766,0.544013,9.592859,0.680001,18.228022,0.944009,13.877389,1.344001,11.16803
0.16199,20.938629,0.161998,16.246818,0.162004,15.888724,0.162003,10.576342,0.161996,8.799795,0.162004,12.085068,0.162,17.823843,0.161991,19.127235,0.161999,18.91757,0.468003,16.758423,0.468002,18.386133,0.612008,9.602239,0.765001,18.212313,1.062006,13.899749,1.512004,11.165256
