Rotameter % of Flow,Ambient Pressure [Pa],Sonic Gauge Pressue [Pa],Temperature [¡C],Closed Position [in],Current Position [in],"Oriface Plate, Absolute Pressure [Pa]",Orifice Plate DP0 [Pa],Orifice Plate DP1 [Pa],Orifice Plate DP2 [Pa],Orifice Plate DP3 [Pa],Orifice Plate DP4 [Pa],Orifice Plate DP5 [Pa],"Turbine, Absolute Pressure [Pa]",Count [Hz],"Laminar, Absolute Pressure [Pa]",Pressure Drop [in],"Venturi, Absolute Pressure [Pa]",Venturi DP0 [Pa],Venturi DP1 [Pa],Venturi DP2 [Pa],Venturi DP3 [Pa],Venturi DP4 [Pa],Venturi DP5 [Pa]
0,1.00E+05,1.00E+05,20.288,3.2,3.2,9.93E+04,-7.208,-2.453,-8.869,-7.086,0,-5.346,1.00E+05,0,1.00E+05,0.245,1.00E+05,-63.971,-86.174,-50.354,-103.996,0,22.492
10,1.00E+05,1.00E+05,20.266,3.2,3.53,9.93E+04,8.317,11.381,3.419,4.704,0,5.151,1.00E+05,0,1.00E+05,0.701,1.00E+05,-56.945,-79.969,-43.846,-98.22,0,26.592
20,1.00E+05,1.00E+05,20.234,3.2,3.91,9.93E+04,43.731,45.323,34.349,34.222,0,30.35,1.01E+05,157,1.00E+05,1.212,1.00E+05,-43.336,-66.204,-30.733,-88.039,0,33.145
30,1.00E+05,1.00E+05,20.181,3.2,4.3,9.93E+04,102.395,103.365,87.775,81.864,0,72.904,1.01E+05,234.4,1.01E+05,1.719,1.00E+05,-22.224,-47.042,-13.124,-79.131,0,41.485
40,1.00E+05,1.00E+05,20.138,3.2,4.72,9.93E+04,179.118,177.479,156.945,142.432,0,126.984,1.01E+05,308.4,1.01E+05,2.229,1.00E+05,6.295,-18.551,-3.133,-68.077,0,49.725
50,1.00E+05,1.00E+05,20.113,3.2,5.16,9.93E+04,271.218,263.601,235.265,220.269,0,194.84,1.01E+05,377.2,1.01E+05,2.725,1.00E+05,41.254,14.707,14.73,-53.938,0,60.55
60,1.00E+05,1.00E+05,20.069,3.2,5.63,9.93E+04,380.086,371.197,326.005,312.451,0,273.496,1.02E+05,445.4,1.01E+05,3.221,1.00E+05,81.502,55.241,34.097,-40.943,0,69.223
70,1.00E+05,1.00E+05,20.008,3.2,6.13,9.93E+04,511.324,493.479,438.485,413.03,0,366.528,1.02E+05,513,1.01E+05,3.719,1.00E+05,128.371,100.113,56.744,-26.216,0,82.966
80,1.00E+05,1.00E+05,19.971,3.2,6.68,9.93E+04,647.929,620.812,557.58,529.394,0,465.302,1.02E+05,578.1,1.01E+05,4.203,1.00E+05,180.386,151.608,74.181,-10.151,0,92.944
90,1.00E+05,1.00E+05,19.954,3.2,7.31,9.93E+04,803.522,780.198,700.179,659.95,0,580.274,1.03E+05,644.1,1.02E+05,4.687,1.00E+05,239.09,208.76,96.275,6.713,0,105.065
96,1.00E+05,1.00E+05,19.865,3.2,7.71,9.93E+04,894.36,870.739,792.756,722.492,0,645.073,1.03E+05,680.1,1.02E+05,4.956,1.00E+05,274.116,240.497,108.201,15.654,0,110.805
